,secID,ticker,secShortName,exchangeCD,tradeDate,consID,consTicker,consName,consExchangeCD,quantity,cashSubsSign,CashRatio,fixedCahsAmount
1109,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600104.XSHG,600104,上汽集团,XSHG,1600,1,10,
1110,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600196.XSHG,600196,复星医药,XSHG,500,1,10,
1111,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600276.XSHG,600276,恒瑞医药,XSHG,1400,1,10,
1112,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600309.XSHG,600309,万华化学,XSHG,700,1,10,
1113,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600340.XSHG,600340,华夏幸福,XSHG,500,1,10,
1114,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600519.XSHG,600519,贵州茅台,XSHG,200,1,10,
1115,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600547.XSHG,600547,山东黄金,XSHG,500,1,10,
1116,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600585.XSHG,600585,海螺水泥,XSHG,900,1,10,
1117,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600690.XSHG,600690,海尔智家,XSHG,1700,1,10,
1118,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600703.XSHG,600703,三安光电,XSHG,1100,1,10,
1119,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600837.XSHG,600837,海通证券,XSHG,3700,1,10,
1120,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,600887.XSHG,600887,伊利股份,XSHG,2800,1,10,
1121,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601012.XSHG,601012,隆基股份,XSHG,1200,1,10,
1122,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601066.XSHG,601066,中信建投,XSHG,200,1,10,
1123,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601088.XSHG,601088,中国神华,XSHG,1500,1,10,
1124,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601111.XSHG,601111,中国国航,XSHG,1400,1,10,
1125,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601138.XSHG,601138,工业富联,XSHG,800,1,10,
1126,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601166.XSHG,601166,兴业银行,XSHG,6600,1,10,
1127,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601186.XSHG,601186,中国铁建,XSHG,2100,1,10,
1128,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601211.XSHG,601211,国泰君安,XSHG,2100,1,10,
1129,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601236.XSHG,601236,红塔证券,XSHG,200,1,10,
1130,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601288.XSHG,601288,农业银行,XSHG,17500,1,10,
1131,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601318.XSHG,601318,中国平安,XSHG,4900,1,10,
1132,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601319.XSHG,601319,中国人保,XSHG,500,1,10,
1133,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601328.XSHG,601328,交通银行,XSHG,12500,1,10,
1134,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601336.XSHG,601336,新华保险,XSHG,400,1,10,
1135,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601390.XSHG,601390,中国中铁,XSHG,3700,1,10,
1136,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601398.XSHG,601398,工商银行,XSHG,9900,1,10,
1137,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601601.XSHG,601601,中国太保,XSHG,1400,1,10,
1138,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601628.XSHG,601628,中国人寿,XSHG,800,1,10,
1139,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601668.XSHG,601668,中国建筑,XSHG,9600,1,10,
1140,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601688.XSHG,601688,华泰证券,XSHG,2000,1,10,
1141,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601766.XSHG,601766,中国中车,XSHG,4400,1,10,
1142,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601818.XSHG,601818,光大银行,XSHG,7300,1,10,
1143,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601857.XSHG,601857,中国石油,XSHG,4400,1,10,
1144,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601888.XSHG,601888,中国国旅,XSHG,400,1,10,
1145,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601939.XSHG,601939,建设银行,XSHG,3100,1,10,
1146,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601988.XSHG,601988,中国银行,XSHG,9600,1,10,
1147,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,601989.XSHG,601989,中国重工,XSHG,4200,1,10,
1148,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,603259.XSHG,603259,药明康德,XSHG,300,1,10,
1149,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-30,603993.XSHG,603993,洛阳钼业,XSHG,3200,1,10,
1150,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600000.XSHG,600000,浦发银行,XSHG,5300,1,10,
1151,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600009.XSHG,600009,上海机场,XSHG,400,1,10,
1152,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600016.XSHG,600016,民生银行,XSHG,11400,1,10,
1153,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600028.XSHG,600028,中国石化,XSHG,6100,1,10,
1154,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600030.XSHG,600030,中信证券,XSHG,3900,1,10,
1155,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600031.XSHG,600031,三一重工,XSHG,2700,1,10,
1156,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600036.XSHG,600036,招商银行,XSHG,4700,1,10,
1157,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600048.XSHG,600048,保利地产,XSHG,3300,1,10,
1158,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600050.XSHG,600050,中国联通,XSHG,4200,1,10,
1159,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600104.XSHG,600104,上汽集团,XSHG,1600,1,10,
1160,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600196.XSHG,600196,复星医药,XSHG,500,1,10,
1161,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600276.XSHG,600276,恒瑞医药,XSHG,1400,1,10,
1162,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600309.XSHG,600309,万华化学,XSHG,700,1,10,
1163,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600340.XSHG,600340,华夏幸福,XSHG,500,1,10,
1164,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600519.XSHG,600519,贵州茅台,XSHG,200,1,10,
1165,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600547.XSHG,600547,山东黄金,XSHG,500,1,10,
1166,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600585.XSHG,600585,海螺水泥,XSHG,900,1,10,
1167,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600690.XSHG,600690,海尔智家,XSHG,1700,1,10,
1168,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600703.XSHG,600703,三安光电,XSHG,1100,1,10,
1169,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-03-27,600837.XSHG,600837,海通证券,XSHG,3700,1,10,
